Surah,Verse,ahmedali,ahmedraza,arberry,daryabadi,hilali,itani,maududi,mubarakpuri,pickthall,qarai,qaribullah,sahih,sarwar,shakir,wahiduddin,yusufali
1,1,"In the name of Allah, most benevolent, ever-merciful.","Allah - beginning with the name of - the Most Gracious, the Most Merciful.","In the Name of God, the Merciful, the Compassionate","In the name of Allah, the Compassionate, the Merciful.","In the Name of Allah, the Most Beneficent, the Most Merciful.","In the name of God, the Gracious, the Merciful.","In the name of Allah, the Merciful, the Compassionate","In the Name of Allah, the Most Gracious, the Most Merciful.","In the name of Allah, the Beneficent, the Merciful.","In the Name of Allah, the All-beneficent, the All-merciful.","In the Name of Allah, the Merciful, the Most Merciful","In the name of Allah, the Entirely Merciful, the Especially Merciful.","In the Name of Allah, the Beneficent, the Merciful","In the name of Allah, the Beneficent, the Merciful.","﻿In the name of God, the Most Gracious, the Most Merciful.","In the name of Allah, Most Gracious, Most Merciful."
1,2,"ALL PRAISE BE to Allah, Lord of all the worlds,","All praise is to Allah, the Lord Of The Creation.","Praise belongs to God, the Lord of all Being,","All praise unto Allah, the Lord of all the worlds.","All the praises and thanks be to Allah, the Lord of the 'Alamin (mankind, jinns and all that exists).","Praise be to God, Lord of the Worlds.","Praise be to Allah, the Lord of the entire universe.","Al-Hamd be to Allah, the Lord of all that exists.","Praise be to Allah, Lord of the Worlds,","All praise belongs to Allah, Lord of all the worlds,","Praise be to Allah, Lord of the Worlds,","[All] praise is [due] to Allah, Lord of the worlds -","All praise belongs to God, Lord of the Universe,","All praise is due to Allah, the Lord of the Worlds.","All praise is due to God, the Lord of the Universe;","Praise be to Allah, the Cherisher and Sustainer of the worlds;"
1,3,"Most beneficent, ever-merciful,","The Most Gracious, the Most Merciful","the All-merciful, the All-compassionate,","The Compassionate, the Merciful.","The Most Beneficent, the Most Merciful.","The Most Gracious, the Most Merciful.","The Merciful, the Compassionate","Ar-Rahman (the Most Gracious), Ar-Rahim (the Most Merciful).","The Beneficent, the Merciful.","the All-beneficent, the All-merciful,","the Merciful, the Most Merciful,","The Entirely Merciful, the Especially Merciful,","the Beneficent, the Merciful","The Beneficent, the Merciful.","the Beneficent, the Merciful;","Most Gracious, Most Merciful;"
1,4,King of the Day of Judgement.,Owner of the Day of Recompense,the Master of the Day of Doom.,Sovereign of the Day of Requital.,The Only Owner (and the Only Ruling Judge) of the Day of Recompense (i.e. the Day of Resurrection),Master of the Day of Judgment.,The Master of the Day of Recompense.,The Owner of the Day of Recompense.,"Master of the Day of Judgment,",Master of the Day of Retribution.,Owner of the Day of Recompense.,Sovereign of the Day of Recompense.,and Master of the Day of Judgment,Master of the Day of Judgment.,Lord of the Day of Judgement.,Master of the Day of Judgment.
1,5,"You alone we worship, and to You alone turn for help.",You alone we worship and from You alone we seek help (and may we always).,Thee only we serve; to Thee alone we pray for succour.,"Thee alone do we worship and of Thee alone do we seek help,","You (Alone) we worship, and you (Alone) we ask for help (for each and everything).","It is You we worship, and upon You we call for help.","You alone do we worship, and You alone do we turn for help","You we worship, and You we ask for help.",Thee (alone) we worship; Thee (alone) we ask for help.,"You [alone] do we worship, and to You [alone] do we turn for help.",You (alone) we worship; and You (alone) we rely for help.,It is You we worship and You we ask for help.,"(Lord), You alone We do worship and from You alone we do seek assistance",Thee do we serve and Thee do we beseech for help.,"You alone we worship, and to You alone we turn for help.","Thee do we worship, and Thine aid we seek."
1,6,"Guide us (O Lord) to the path that is straight,",Guide us on the Straight Path.,"Guide us in the straight path,",Guide us Thou unto the path straight,Guide us to the Straight Way,Guide us to the straight path.,"Direct us on to the Straight Way,",Guide us to the straight path.,"Show us the straight path,","Guide us on the straight path,","Guide us to the Straight Path,",Guide us to the straight path -,"(Lord), guide us to the right path,",Keep us on the right path.,Guide us to the straight path:,"Show us the straight way,"
1,7,"The path of those You have blessed, Not of those who have earned Your anger, nor those who have gone astray.",The path of those whom You have favoured – Not the path of those who earned Your anger – nor of those who are astray.,"the path of those whom Thou hast blessed, not of those against whom Thou art wrathful, nor of those who are astray.","The path of those whom Thou hast favoured. Not of those on whom is indignation brought down, nor of the astray.","The Way of those on whom You have bestowed Your Grace, not (the way) of those who earned Your Anger, nor of those who went astray.","The path of those You have blessed, not of those against whom there is anger, nor of those who are misguided.","The way of those whom You have favoured, who did not incur Your wrath, who are not astray.","The way of those upon whom You have bestowed Your grace, not (that) of those who earned Your anger, nor of those who went astray.",The path of those whom Thou hast favoured; Not the (path) of those who earn Thine anger nor of those who go astray.,"the path of those whom You have blessed — such as have not incurred Your wrath, nor are astray.","the Path of those upon whom You have favored, not those upon whom is the anger, nor the astray. (Amen please answer)","The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.","the path of those to whom You have granted blessings, those who are neither subject to Your anger nor have gone astray.","The path of those upon whom Thou hast bestowed favors. Not (the path) of those upon whom Thy wrath is brought down, nor of those who go astray.","the path of those You have blessed; not of those who have incurred Your wrath, nor of those who have gone astray.","The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray."
2,1,ALIF LAM MIM.,"Alif-Laam-Meem. (Alphabets of the Arabic language; Allah and to whomever He reveals, know their precise meanings.)",Alif Lam Mim,Alif. Lam Mim,Alif-Lam-Mim. [These letters are one of the miracles of the Quran and none but Allah (Alone) knows their meanings].,"Alif, Lam, Meem.",Alif. Lam. Mim.,Alif Lam Mim.,Alif. Lam. Mim.,"Alif, Lam, Mim.",AlifLaamMeem.,"Alif, Lam, Meem.",Alif. Lam. Mim.,Alif Lam Mim.,Alif Lam Mim.,A. L. M.
2,2,"This is The Book free of doubt and involution, a guidance for those who preserve themselves from evil and follow the straight path,","This is the exalted Book (the Qur’an), in which there is no place for doubt; a guidance for the pious.","That is the Book, wherein is no doubt, a guidance to the godfearing","This Book whereof there is no doubt, is a guidance unto the God-fearing.","This is the Book (the Quran), whereof there is no doubt, a guidance to those who are Al-Muttaqun [the pious and righteous persons who fear Allah much (abstain from all kinds of sins and evil deeds which He has forbidden) and love Allah much (perform all kinds of good deeds which He has ordained)].","This is the Book in which there is no doubt, a guide for the righteous.","This is the Book of Allah: there is no doubt about it. It is guidance to Godfearing people,","That is Book in which there is no Rayb, guidance for the Muttaqin.","This is the Scripture whereof there is no doubt, a guidance unto those who ward off (evil).","This is the Book, there is no doubt in it, a guidance to the Godwary,","That is the (Holy) Book, where there is no doubt. It is a guidance for the cautious (of evil and Hell).","This is the Book about which there is no doubt, a guidance for those conscious of Allah -",There is no doubt that this book is a guide for the pious;,"This Book, there is no doubt in it, is a guide to those who guard (against evil).","This is the Book; there is no doubt in it. It is a guide for those who are mindful of God,","This is the Book; in it is guidance sure, without doubt, to those who fear Allah;"
2,3,"Who believe in the Unknown and fulfil their devotional obligations, and spend in charity of what We have given them;","Those who believe without seeing (the hidden), and keep the (obligatory) prayer established, and spend in Our cause from what We have bestowed upon them.","who believe in the Unseen, and perform the prayer, and expend of that We have provided them;","Who believe in the Unseen, and establish prayer, and out of that wherewith We have provided them expend.","Who believe in the Ghaib and perform As-Salat (Iqamat-as-Salat), and spend out of what we have provided for them [i.e. give Zakat, spend on themselves, their parents, their children, their wives, etc., and also give charity to the poor and also in Allah's Cause - Jihad, etc.].","Those who believe in the unseen, and perform the prayers, and give from what We have provided for them.","who believe in the unseen, establish the Salats and expend (in Our way) out of what We have bestowed on them;","Those Who have faith in the Ghayb and perform Salah, and spend out of what we have provided for them.","Who believe in the Unseen, and establish worship, and spend of that We have bestowed upon them;","who believe in the Unseen, maintain the prayer, and spend out of what We have provided for them;",Who believe in the unseen and establish the (daily) prayer; who spend out of what We have provided them.,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,","the pious who believe in the unseen, attend to prayer, give in charity part of what We have granted them;",Those who believe in the unseen and keep up prayer and spend out of what We have given them.,"who believe in the unseen, and are steadfast in prayer, and spend out of what We have provided them with;","Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;"
